16:21:31 Server load: FPS 46, memory used: 2078 MB, out: 23430 Kbps, in: 562 Kbps, NG:0, G:13068, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:36 Server load: FPS 45, memory used: 2081 MB, out: 30937 Kbps, in: 631 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:41 Server load: FPS 45, memory used: 2084 MB, out: 29977 Kbps, in: 560 Kbps, NG:0, G:292774, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:46 Server load: FPS 46, memory used: 2083 MB, out: 22739 Kbps, in: 551 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:51 Server load: FPS 46, memory used: 2084 MB, out: 22707 Kbps, in: 559 Kbps, NG:0, G:21483, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:21:56 Server load: FPS 45, memory used: 2093 MB, out: 33104 Kbps, in: 603 Kbps, NG:0, G:3200, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:01 Server load: FPS 46, memory used: 2093 MB, out: 27996 Kbps, in: 623 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:06 Server load: FPS 46, memory used: 2092 MB, out: 29726 Kbps, in: 602 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:11 Server load: FPS 47, memory used: 2093 MB, out: 22778 Kbps, in: 580 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:16 Server load: FPS 47, memory used: 2092 MB, out: 21625 Kbps, in: 568 Kbps, NG:0, G:6336, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:21 Server load: FPS 47, memory used: 2093 MB, out: 26015 Kbps, in: 628 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:26 Server load: FPS 46, memory used: 2094 MB, out: 23560 Kbps, in: 575 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:32 Server load: FPS 46, memory used: 2093 MB, out: 23747 Kbps, in: 566 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:37 Server load: FPS 46, memory used: 2092 MB, out: 22513 Kbps, in: 557 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:42 Server load: FPS 47, memory used: 2092 MB, out: 23394 Kbps, in: 584 Kbps, NG:0, G:1188, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:47 Server load: FPS 47, memory used: 2092 MB, out: 26046 Kbps, in: 591 Kbps, NG:0, G:14355, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:52 Server load: FPS 47, memory used: 2093 MB, out: 25708 Kbps, in: 595 Kbps, NG:0, G:6435, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:22:57 Server load: FPS 47, memory used: 2092 MB, out: 24157 Kbps, in: 581 Kbps, NG:0, G:53064, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:02 Server load: FPS 47, memory used: 2093 MB, out: 24751 Kbps, in: 585 Kbps, NG:0, G:12979, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:07 Server load: FPS 46, memory used: 2093 MB, out: 22584 Kbps, in: 583 Kbps, NG:0, G:11623, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:12 Server load: FPS 47, memory used: 2094 MB, out: 23915 Kbps, in: 597 Kbps, NG:0, G:13262, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:17 Server load: FPS 44, memory used: 2096 MB, out: 28284 Kbps, in: 636 Kbps, NG:0, G:10296, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:22 Server load: FPS 46, memory used: 2095 MB, out: 26011 Kbps, in: 629 Kbps, NG:0, G:6588, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:27 Server load: FPS 46, memory used: 2095 MB, out: 28450 Kbps, in: 635 Kbps, NG:0, G:13752, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:0, G:98, D:0)
16:23:32 Server load: FPS 46, memory used: 2093 MB, out: 27923 Kbps, in: 714 Kbps, NG:0, G:6380, BE-NG:0, BE-G:0, Players: 98 (L:1, R:0, B:0, G:97, D:0)
16:23:37 Server load: FPS 46, memory used: 2092 MB, out: 22591 Kbps, in: 649 Kbps, NG:0, G:12740, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
