16:00:03 Initializing stats manager.
16:00:03 Stats config disabled.
16:06:59 [KPLIB] [STATS] Jabey - FPS: 2.98 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 24, exec: 0, execFSM: 2]
16:07:00 [KPLIB] [STATS] Prancibald - FPS: 2.43 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 25, exec: 0, execFSM: 2]
16:07:02 [KPLIB] [STATS] F. Castle - FPS: 61.78 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 22, exec: 0, execFSM: 3]
16:07:03 [KPLIB] [STATS] BEJO - FPS: 43.24 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 22, exec: 0, execFSM: 3]
16:07:04 [KPLIB] [STATS] B. Holiday - FPS: 50 - Local groups: 3 - Local units: 3 - Active Scripts: [spawn: 13, execVM: 22, exec: 0, execFSM: 3]
16:07:05 [KPLIB] [STATS] Tater - FPS: 18.98 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 18, execVM: 22, exec: 0, execFSM: 3]
16:07:06 [KPLIB] [STATS] Dodger - FPS: 45.85 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 20, execVM: 22, exec: 0, execFSM: 3]
16:07:08 [KPLIB] [STATS] Stripiestwig - FPS: 65.04 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 8, execVM: 22, exec: 0, execFSM: 3]
16:07:12 [KPLIB] [STATS] Weezy - FPS: 38.55 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 22, exec: 0, execFSM: 3]
16:07:13 [KPLIB] [STATS] Server - FPS: 43.36 - Local groups: 21 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 16]
16:07:14 [KPLIB] [STATS] james - FPS: 86.96 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 6, execVM: 22, exec: 0, execFSM: 3]
16:07:16 [KPLIB] [STATS] Velas - FPS: 21.14 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 22, exec: 0, execFSM: 3]
16:07:18 [KPLIB] [STATS] TibetanChunk - FPS: 48.93 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 18, execVM: 22, exec: 0, execFSM: 3]
16:07:19 [KPLIB] [STATS] Deeznuts - FPS: 47.9 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 22, exec: 0, execFSM: 3]
16:07:19 [KPLIB] [STATS] Nukes - FPS: 42.67 - Local groups: 0 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 22, exec: 0, execFSM: 3]
