Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
19:27:00,32,2967,33901,1115,0,10915,0,0,84
19:27:05,21,2990,64308,1488,0,70307,0,0,84
19:27:10,17,2996,69740,1546,0,11424,0,0,84
19:27:15,28,2966,33119,1110,0,2100,0,0,84
19:27:20,33,2966,29591,1128,0,16400,0,0,85
19:27:25,32,2975,30172,1113,0,10906,0,0,85
19:27:30,32,2975,30327,1079,0,0,0,0,85
19:27:35,34,2971,22607,976,0,5412,0,0,85
19:27:40,31,2970,27209,1061,0,11756,0,0,85
19:27:45,33,2980,29349,1107,0,5540,0,0,85
19:27:50,31,2978,29278,1170,0,13564,0,0,86
19:27:55,34,2974,21303,1104,0,0,0,0,85
19:28:00,34,2974,23782,1137,0,21389,0,0,85
19:28:05,33,2981,23961,1196,0,1032,0,0,86
19:28:10,31,2969,26870,1261,0,9289,0,0,86
19:28:15,37,2960,17945,1124,0,6545,0,0,86
19:28:20,35,2961,23118,1141,0,10692,0,0,85
19:28:25,36,2958,23819,1131,0,12185,0,0,85
19:28:31,39,2944,15306,1015,0,17932,0,0,85
19:28:36,38,2942,23936,1099,0,5356,0,0,85
19:28:41,40,2943,21623,994,0,9855,0,0,85
19:28:46,40,2952,26785,938,0,5330,0,0,85
19:28:51,34,2948,30172,904,0,20172,0,0,85
19:28:56,40,2941,26200,913,0,10988,0,0,85
19:29:01,40,2944,28352,955,0,12717,0,0,86
19:29:06,41,2942,28122,1098,0,0,0,0,84
19:29:11,40,2940,30169,1118,0,6364,0,0,84
19:29:16,40,2936,27787,1155,0,20736,0,0,84
19:29:21,41,2928,15850,1061,0,5346,0,0,84
19:29:26,43,2930,14824,982,0,1092,0,0,84
19:29:31,42,2929,14065,843,0,0,0,0,84
19:29:36,41,2932,17789,1144,0,10454,0,0,86
19:29:41,42,2936,15861,1076,0,16585,0,0,86
19:29:46,34,2937,18875,1146,0,0,0,0,86
19:29:51,43,2938,15616,1115,0,5346,0,0,86
19:29:56,43,2940,14533,1130,0,0,0,0,86
19:30:01,42,2938,14006,1286,0,13942,0,0,86
19:30:06,43,2937,14921,1217,0,7251,0,0,87
19:30:11,43,2938,15081,1121,0,9483,0,0,87
19:30:16,43,2946,15227,1121,0,5837,0,0,87
19:30:21,41,2944,18112,1144,0,11122,0,0,87
19:30:26,42,2948,22875,1037,0,5478,0,0,87
19:30:31,39,2952,31128,1040,0,32264,0,0,86
19:30:36,40,2956,35774,861,0,112,0,0,86
19:30:42,37,2959,40465,848,0,2092,0,0,86
19:30:47,37,2965,44281,874,0,16371,0,0,86
19:30:52,37,2961,42503,862,0,5478,0,0,86
19:30:57,35,2968,44392,1125,0,42760,0,0,87
19:31:02,8,3008,99579,1888,0,25731,0,0,87
19:31:07,35,2965,38748,1090,0,0,0,0,88
19:31:12,39,2967,30429,1114,0,7298,0,0,89
19:31:17,40,2967,30275,973,0,0,0,0,89
19:31:22,42,2958,18787,987,0,0,0,0,89
19:31:27,43,2956,17454,995,0,18509,0,0,89
19:31:32,42,2959,13151,986,0,8633,0,0,89
19:31:37,41,2957,15500,1036,0,935,0,0,90
19:31:42,42,2959,14056,1187,0,121,0,0,90
19:31:47,43,2956,13477,1049,0,0,0,0,90
19:31:52,43,2959,16004,1019,0,5478,0,0,90
19:31:57,43,2961,15724,1060,0,42313,0,0,90
19:32:02,42,2971,19167,1196,0,5544,0,0,90
19:32:07,41,2975,22381,1376,0,58,0,0,90
19:32:12,40,2983,31570,1312,0,6580,0,0,90
19:32:17,36,2991,46542,1010,0,11303,0,0,90
19:32:23,24,3004,67847,1260,0,105529,0,0,89
19:32:28,17,3025,90071,1484,0,18382,0,0,89
19:32:33,19,3000,75094,1548,0,6752,0,0,90
19:32:38,27,3007,60474,1227,0,13505,0,0,89
19:32:43,26,3020,68000,1383,0,6863,0,0,89
19:32:48,15,3035,89788,1629,0,74900,0,0,89
19:32:53,14,3021,83386,1698,0,16622,0,0,89
19:32:58,36,2996,44698,999,0,52368,0,0,89
19:33:03,41,2980,21784,915,0,5791,0,0,89
19:33:08,43,2979,14490,1043,0,5653,0,0,90
19:33:13,41,2982,14959,932,0,0,0,0,90
19:33:18,44,2980,13623,913,0,0,0,0,90
19:33:23,44,2983,14386,899,0,70,0,0,90
19:33:28,43,2985,13215,955,0,58,0,0,90
19:33:33,40,2991,19737,1203,0,18,0,0,90
19:33:38,40,3000,28663,1219,0,696,0,0,90
19:33:43,36,3002,35008,1105,0,11484,0,0,90
19:33:48,35,3005,37002,1028,0,11693,0,0,90
19:33:53,30,3017,45120,1118,0,226017,0,0,90
19:33:58,33,3020,39301,1087,0,16810,0,0,90
19:34:03,34,3017,39128,1104,0,17418,0,0,90
19:34:09,29,3030,50918,1232,0,0,0,0,90
19:34:14,20,3049,65360,1385,0,100522,0,0,90
19:34:19,24,3046,59593,1241,0,15474,0,0,90
19:34:24,24,3050,53714,1174,0,56107,0,0,90
19:34:29,17,3077,80415,1387,0,219441,0,0,90
19:34:34,27,3053,49741,1017,0,11847,0,0,90
19:34:39,25,3078,56763,1260,0,367386,0,0,90
19:34:45,10,3096,94665,1818,0,411230,0,0,90
19:34:50,27,3054,51246,1064,0,5785,0,0,90
19:34:55,32,3056,39962,990,0,5874,0,0,90
19:35:00,35,3053,31220,1036,0,5340,0,0,90
19:35:05,33,3046,31547,998,0,5896,0,0,89
19:35:10,33,3048,30613,1032,0,5825,0,0,90
19:35:15,32,3049,29923,1207,0,0,0,0,90
19:35:20,30,3059,38721,1206,0,14584,0,0,90
19:35:25,28,3059,37552,1184,0,77801,0,0,90
19:35:30,31,3059,34806,1230,0,10384,0,0,90
19:35:35,23,3076,56678,1466,0,9621,0,0,90
19:35:40,34,3054,21675,1122,0,35318,0,0,90
19:35:46,36,3059,22681,1094,0,89468,0,0,90
19:35:51,36,3052,15854,1076,0,3272,0,0,90
19:35:56,38,3051,14285,1044,0,11000,0,0,90
19:36:01,39,3053,13732,1071,0,0,0,0,90
19:36:06,36,3052,16381,1124,0,5742,0,0,89
19:36:11,36,3052,14226,1136,0,5742,0,0,89
19:36:16,37,3053,15577,1114,0,12664,0,0,89
19:36:21,36,3056,13658,1189,0,0,0,0,90
19:36:26,37,3057,14620,1012,0,5771,0,0,90
19:36:31,32,3065,26885,1119,0,10359,0,0,90
19:36:36,30,3082,41891,1441,0,0,0,0,91
19:36:41,26,3088,46685,1460,0,16786,0,0,91
19:36:46,28,3081,38481,1463,0,19575,0,0,91
19:36:51,26,3080,38166,1462,0,112,0,0,91
19:36:56,28,3080,39927,1477,0,167,0,0,91
19:37:01,27,3081,37979,1448,0,19274,0,0,91
19:37:06,32,3075,27622,1244,0,5720,0,0,91
19:37:11,30,3077,32282,1159,0,11176,0,0,90
19:37:16,21,3095,64400,1552,0,0,0,0,90
19:37:21,14,3107,78699,1747,0,81493,0,0,90
19:37:26,26,3074,41826,1370,0,11083,0,0,90
19:37:32,34,3075,24025,1005,0,8184,0,0,90
19:37:37,29,3084,41676,1122,0,11428,0,0,90
19:37:42,31,3081,36413,1141,0,402,0,0,90
19:37:47,33,3082,29712,1055,0,11766,0,0,90
19:37:52,31,3075,34416,1068,0,5808,0,0,90
19:37:57,35,3069,14561,1023,0,14080,0,0,90
19:38:02,35,3073,16521,1081,0,2880,0,0,90
19:38:07,36,3073,14779,1030,0,0,0,0,90
19:38:12,35,3074,16759,1076,0,8688,0,0,90
19:38:17,34,3074,15605,1086,0,5192,0,0,90
19:38:22,34,3076,16213,1056,0,5850,0,0,90
19:38:27,35,3073,16756,1067,0,10,0,0,90
19:38:32,35,3075,16291,1076,0,10793,0,0,90
19:38:37,34,3076,15762,1051,0,20016,0,0,90
19:38:42,34,3077,17556,1077,0,12158,0,0,90
19:38:47,35,3077,15023,1025,0,16896,0,0,90
19:38:52,34,3079,15145,1038,0,14855,0,0,90
19:38:57,34,3080,16266,1035,0,5720,0,0,90
19:39:02,34,3081,17018,1004,0,10384,0,0,90
19:39:07,35,3080,14409,1004,0,11871,0,0,90
19:39:12,35,3085,16053,1027,0,14736,0,0,90
19:39:17,34,3084,16190,1028,0,935,0,0,90
19:39:22,34,3084,15042,1033,0,8688,0,0,90
19:39:27,35,3086,16224,1046,0,14616,0,0,90
19:39:32,34,3083,15507,1050,0,0,0,0,90
19:39:37,35,3083,14106,1026,0,5720,0,0,90
19:39:42,34,3087,14644,1015,0,0,0,0,90
19:39:48,36,3085,13710,1013,0,5808,0,0,90
19:39:53,36,3085,13593,984,0,0,0,0,90
19:39:58,35,3088,14125,1028,0,8600,0,0,90
19:40:03,35,3091,14933,1031,0,0,0,0,90
19:40:08,33,3092,17922,1015,0,0,0,0,90
