,Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
262,2021-05-09 16:35:37,48,2162,24457,702,0,7831,0,0,98
263,2021-05-09 16:35:42,48,2163,25495,705,0,6435,0,0,98
264,2021-05-09 16:35:47,48,2163,26557,722,0,392,0,0,98
265,2021-05-09 16:35:52,48,2163,22376,645,0,15444,0,0,98
266,2021-05-09 16:35:57,42,2154,29379,723,0,0,0,0,98
267,2021-05-09 16:36:02,47,2156,26815,690,0,6534,0,0,98
268,2021-05-09 16:36:07,47,2154,24359,659,0,0,0,0,98
269,2021-05-09 16:36:12,47,2154,24879,647,0,12574,0,0,98
270,2021-05-09 16:36:17,47,2154,24212,656,0,7722,0,0,98
271,2021-05-09 16:36:22,47,2155,20923,582,0,0,0,0,98
272,2021-05-09 16:36:27,47,2154,22523,620,0,6534,0,0,98
273,2021-05-09 16:36:32,48,2156,23814,655,0,15246,0,0,98
274,2021-05-09 16:36:37,47,2157,23275,630,0,13167,0,0,98
275,2021-05-09 16:36:42,47,2160,24642,652,0,20295,0,0,98
276,2021-05-09 16:36:47,47,2160,26201,692,0,6575,0,0,98
277,2021-05-09 16:36:52,47,2161,27075,724,0,6534,0,0,98
278,2021-05-09 16:36:57,47,2157,29630,746,0,13572,0,0,98
279,2021-05-09 16:37:02,47,2185,40290,877,0,8996,0,0,98
280,2021-05-09 16:37:07,47,2154,29408,769,0,13206,0,0,98
281,2021-05-09 16:37:12,47,2152,25630,683,0,0,0,0,98
282,2021-05-09 16:37:18,47,2153,23569,687,0,6659,0,0,98
283,2021-05-09 16:37:23,47,2151,22177,628,0,12573,0,0,98
284,2021-05-09 16:37:28,47,2151,21325,634,0,6643,0,0,98
285,2021-05-09 16:37:33,47,2149,21512,617,0,0,0,0,98
286,2021-05-09 16:37:38,47,2151,21278,620,0,19810,0,0,98
287,2021-05-09 16:37:43,47,2150,19733,604,0,13266,0,0,98
288,2021-05-09 16:37:48,47,2150,20557,613,0,15741,0,0,98
289,2021-05-09 16:37:53,47,2150,21388,591,0,32482,0,0,98
290,2021-05-09 16:37:58,47,2151,23783,646,0,1722,0,0,98
291,2021-05-09 16:38:03,47,2149,21365,574,0,14232,0,0,98
292,2021-05-09 16:38:08,47,2149,21701,598,0,6468,0,0,98
293,2021-05-09 16:38:13,44,2198,22492,655,0,3770141,0,0,98
294,2021-05-09 16:38:18,42,2135,26673,566,0,1188,0,0,98
295,2021-05-09 16:38:23,46,2138,21867,550,0,6633,0,0,98
296,2021-05-09 16:38:28,46,2137,21948,547,0,0,0,0,98
297,2021-05-09 16:38:33,44,2146,29906,638,0,13167,0,0,98
298,2021-05-09 16:38:38,43,2149,38987,730,0,0,0,0,98
299,2021-05-09 16:38:43,42,2150,38461,712,0,54660,0,0,98
300,2021-05-09 16:38:48,47,2154,30673,633,0,89793,0,0,98
301,2021-05-09 16:38:53,47,2155,27363,656,0,0,0,0,98
302,2021-05-09 16:38:58,47,2157,24731,627,0,26,0,0,98
303,2021-05-09 16:39:03,47,2158,24500,645,0,0,0,0,98
304,2021-05-09 16:39:08,47,2158,23560,689,0,30,0,0,98
305,2021-05-09 16:39:13,48,2159,28726,712,8316,11,0,0,98
306,2021-05-09 16:39:18,47,2166,32429,761,0,89804,0,0,98
307,2021-05-09 16:39:23,43,2186,39948,906,0,30809,0,0,98
308,2021-05-09 16:39:28,46,2198,34988,1009,0,45936,0,0,98
309,2021-05-09 16:39:33,44,2213,42719,983,0,1297,0,0,98
310,2021-05-09 16:39:38,47,2189,31834,906,0,14751,0,0,98
311,2021-05-09 16:39:44,47,2185,27684,863,0,10692,0,0,98
312,2021-05-09 16:39:49,48,2184,26344,832,0,26532,0,0,98
313,2021-05-09 16:39:54,48,2184,26403,819,0,13068,0,0,98
314,2021-05-09 16:39:59,48,2185,24973,833,0,6633,0,0,98
315,2021-05-09 16:40:04,48,2186,25405,845,0,10,0,0,98
316,2021-05-09 16:40:09,47,2185,23653,862,0,2957,0,0,98
317,2021-05-09 16:40:14,48,2185,23098,789,0,6633,0,0,98
318,2021-05-09 16:40:19,48,2185,23144,784,0,7722,0,0,98
319,2021-05-09 16:40:24,47,2188,24621,778,0,7920,0,0,98
320,2021-05-09 16:40:29,48,2189,26016,795,0,13662,0,0,98
321,2021-05-09 16:40:34,48,2189,26981,821,0,0,0,0,98
322,2021-05-09 16:40:39,48,2187,24023,801,0,227,0,0,98
323,2021-05-09 16:40:44,48,2189,23004,784,0,13870,0,0,98
324,2021-05-09 16:40:49,48,2188,25147,831,0,51,0,0,98
325,2021-05-09 16:40:54,48,2188,25557,821,0,7681,0,0,98
326,2021-05-09 16:40:59,48,2187,22410,856,0,0,0,0,98
327,2021-05-09 16:41:04,48,2188,22522,838,0,17,0,0,98
328,2021-05-09 16:41:09,48,2188,21614,772,0,6633,0,0,98
329,2021-05-09 16:41:14,48,2190,24419,867,0,0,0,0,98
330,2021-05-09 16:41:19,48,2191,24662,896,0,935,0,0,98
331,2021-05-09 16:41:24,48,2190,22123,841,0,6710,0,0,98
332,2021-05-09 16:41:29,48,2189,21034,798,0,13068,0,0,98
333,2021-05-09 16:41:34,48,2191,21351,836,0,7236,0,0,98
334,2021-05-09 16:41:39,48,2190,21916,852,0,11,0,0,98
335,2021-05-09 16:41:44,48,2191,20653,812,0,5940,0,0,98
336,2021-05-09 16:41:50,48,2191,19352,818,0,11286,0,0,98
337,2021-05-09 16:41:55,48,2190,15778,709,0,0,0,0,98
338,2021-05-09 16:42:00,48,2193,15697,745,0,6831,0,0,98
339,2021-05-09 16:42:05,48,2191,15774,696,0,13266,0,0,98
340,2021-05-09 16:42:10,48,2190,16349,712,0,9,0,0,98
341,2021-05-09 16:42:15,47,2193,25792,761,0,51,0,0,98
342,2021-05-09 16:42:20,48,2195,18886,741,0,0,0,0,98
343,2021-05-09 16:42:25,48,2194,19698,780,0,6633,0,0,98
344,2021-05-09 16:42:30,48,2195,21110,767,0,8217,0,0,98
345,2021-05-09 16:42:35,48,2195,19487,734,0,6534,0,0,98
346,2021-05-09 16:42:40,48,2199,27822,757,0,12573,0,0,98
